natural_language,terminal_command
display memory in human-readable format,free -h
show detailed memory information,free -h -w
show memory and swap usage summary,free -h -s 1
Find apparent size of a target directory,du -hs /path/to/directory
show current logged-in user,whoami
display the username of the current user,whoami
"Save the user name of the current user to variable ""whoami""",whoami=$(whoami)
Run command 'su whoami' on host 'remotehost',"echo ""su whoami"" |ssh remotehost"
"Print ""hello"" followed by the current user name",echo hello `whoami`
Lookup information of the current user,finger `whoami`
"Save the user name of the current user to variable ""me""","me=""$(whoami)"""
"Recursively change ownership of ""~/.npm"" to the current user",sudo chown -R $(whoami) ~/.npm
"Recursively change ownership of ""/usr/local/lib"" to the current user",sudo chown -R `whoami` /usr/local/lib
"Recursively change ""/usr/local"" owner to the current user and group to admin",sudo chown -R $(whoami):admin /usr/local
recursively change owner of the directory /usr/local/lib to the current user,sudo chown -R `whoami` /usr/local/lib
"Recursively change ownership of ""/usr/lib/node_modules/"" to the current user",sudo chown -R $(whoami) /usr/lib/node_modules/
"Print ""I am USER and the program named ls is in LS_PATH"" where ""USER"" is the current user's user name and ""LS_PATH"" is the full path of the command ""ls""",echo I am $(whoami) and the program named ls is in $(which ls).
"Save the system host name in variable ""HOSTNAME""","HOSTNAME=""`hostname`"""
"Save the system host name in variable ""HOSTNAME""",HOSTNAME=$(hostname)
"Set the host name to the contents of ""/etc/hostname""",hostname $(cat /etc/hostname)
Run 'make -e' with an environment variable 'HOSTNAME' set to the system hostname,HOSTNAME=$(hostname) make -e
"Save the short system host name to variable ""hostname""",hostname=`hostname -s`
"Print ""*Checking Partition Permission* Hostname=$(hostname) LastChecked="" followed by the current date",echo -n *Checking Partition Permission* Hostname=$(hostname) LastChecked=$(date)
Output the system host name and date to the console,echo Hostname=$(hostname) LastChecked=$(date)
Display hostname.,uname -n
Print the host name,hostname
Print TXT record with server`s hostname from nameserver 'server',dig @server hostname.bind ch txt
Print host name without a newline,echo -n `hostname`
Print IP addresses of the host name,hostname -i
show the system's hostname,hostname
display the hostname of the machine,hostname
set the system hostname to <name>,sudo hostname <name>
show the fully qualified domain name,hostname -f
Run 'chmod 0644' on all files in the current directory tree,find . -type f -exec chmod 0644 {} \;
Run 'chmod 0755' on all directories in the current directory tree,find . -type d -exec chmod 0755 {} \;
Change permissions to 644 for all files showing the respective chmod command,find ./ -type f -print0 | xargs -t -0 chmod -v 644
Find all 777 permission files and use chmod command to set permissions to 644,find / -type f -perm 0777 -print -exec chmod 644 {} \;
Find all 777 permission directories and use chmod command to set permissions to 755,find . -type d -perm 777 -print -exec chmod 755 {} \;
"Make ""bar"" executable",chmod +x bar
"Add group write permission to all files matching ""*"" or ""...*""",chmod g+w * ...*
"Allow all users to execute ""myscript.sh""",chmod a+x myscript.sh
"Make ""file.sh"" executable",chmod +x file.sh
"Set permission of ""file"" to read only for the owner",chmod 600 file
"Set permissions of command ""node"" to 755",sudo chmod 755 $(which node)
Fix files to default permissions 644,find . -type f -exec chmod 644 {} \;
Fix files to default permissions 755,find . -type d -exec chmod 755 {} \;
"Allow all users to execute '$pathToShell""myShell.sh""'","chmod a+x $pathToShell""myShell.sh"""
"Change permissions of ""/usr/bin/wget"" to 777",chmod 777 /usr/bin/wget
change the permissions of all the directories in the current folder,chmod 751 `find ./ -type d -print`
change file permissions,chmod <permissions> <file>
make a file executable,chmod +x <file>
remove execute permissions,chmod -x <file>
"set read, write, and execute for owner",chmod u+rwx <file>
"set read and write for owner, read for group and others",chmod 664 <file>
give execute permission for all users,chmod a+x <file>
remove write permission for group,chmod g-w <file>
give read permission to others,chmod o+r <file>
set exact permissions using numeric mode,chmod 755 <file>
change permissions recursively for a directory,chmod -R <permissions> <dir>
run a command as superuser,sudo <command>
run a command as another user,sudo -u <username> <command>
execute a command with elevated privileges,sudo <command>
edit a file with superuser privileges,sudo nano <file>
install a package with superuser privileges,sudo apt install <package>
update system packages with superuser privileges,sudo apt update
shutdown the system,sudo shutdown
reboot the system,sudo reboot
change file permissions with superuser privileges,sudo chmod <permissions> <file>
check superuser permissions for a command,sudo -l
get the root user access,sudo su
Mount all filesystems in /etc/fstab,sudo mount -a
Find all directories under /path/to/Dir and set their permission to 755,sudo find /path/to/Dir -type d -print0 | xargs -0 sudo chmod 755
Find all files under /path/to/Dir and set their permission to 644,sudo find /path/to/Dir -type f -print0 | xargs -0 sudo chmod 644
"Dump the character output of 'echo `echo ""Ho ho ho""`'","echo `echo ""Ho ho ho""` | od -c"
"Dump the character output of ""echo 'hi'""",echo 'hi' | od -c
"Print 'echo 'hello, world'","echo 'hello, world' | cat"
Execute `echo' for each file found,find . | xargs -n 1 echo
"Save 'echo whatever you ""want your"" command to be' in history","history -s 'echo whatever you ""want your"" command to be'"
"Print ""test=hello world""","echo ""hello world"" | echo test=$(cat)"
"Compare text ""hello"" and ""goodbye"" line by line",diff <(echo hello) <(echo goodbye)
"Execute 'echo -e ""\tHello World""' every 2 seconds","watch 'echo -e ""\tHello World""'"
List files in the current directory tree using echo,find . -exec echo {} ;
"Print characters in variable ""$a"" that exist in variable ""$b""","echo ""$(comm -12 <(echo ""$a"" | fold -w1 | sort | uniq) <(echo ""$b"" | fold -w1 | sort | uniq) | tr -d '\n')"""
Lists long format information about file '/bin/echo'.,ls -l /bin/echo
"Print all files with a '-' after their name if they are regular files, and a '+' otherwise",find / -type f -exec echo {} - ';' -o -exec echo {} + ';'
"Print the list of all regular files on the system using ""echo""",find / -type f -exec echo {} \;
"Remove spaces from output of ""echo aa | wc -l""",echo aa | wc -l | tr -d ' '
"Execute 'echo -e ""\033[31mHello World\033[0m""' every without color support 2 seconds","watch 'echo -e ""\033[31mHello World\033[0m""'"
"Print ""echo ping -c 2"" on each string in file 'ips'",cat ips | xargs -n1 echo ping -c 2
Clears terminal screen.,echo `clear`
"Print ""hello"" followed by the current user name",echo hello `whoami`
Print 1 to 10 by separating them with colon (':'),echo {1..9}: 10 | tr -d ' '
Print 3 space separated '%',echo $(yes % | head -n3)
"Print each character in ""Hello"" as a hexadecimal value","echo -n ""Hello"" | od -A n -t x1"
Print host name without a newline,echo -n `hostname`
Clears the terminal screen.,clear
Clears terminal screen.,echo `clear`
Clear the in-memory history,history -c
Clear the terminal's search history,history -c
Clear the in-memory history and read from the current history file,history -cr
Append history lines from this session to the history list,history -a
read all history lines not already read from the history file,history -n
Read the history file and append the contents to the history list,history -r
Clear the in-memory history,history -c
Print command history,history
Clear the in-memory history and read from the current history file,history -cr
"Request that the master ssh connection ""officefirewall"" exits",ssh -O exit officefirewall
"Request that the master ssh connection ""otherHosttunnel"" exits",ssh -O exit otherHosttunnel
Test if a file named 'file' in the current directory is more than 1 hour old,find file -chour +1 -exit 0 -o -exit 1
"Connect to ""$USER_AT_HOST"" using connection sharing on ""$SSHSOCKET"" and request the master to exit","ssh -S ""$SSHSOCKET"" -O exit ""$USER_AT_HOST"""
"Print ""RDBMS exit code : $RC "" to the console and append to ""${LOG_FILE}""","echo "" RDBMS exit code : $RC "" | tee -a ${LOG_FILE}"
(GNU specific) Display info on most CPU-intensive processes once and exit.,top -n 1
"Check whether ""/full/path"" is a mount point with no output and using the exit code",df /full/path | grep -q /full/path
"Close the master SSH control socket ""my-ctrl-socket"" to ""jm@sampledomain.com""",ssh -S my-ctrl-socket -O exit jm@sampledomain.com
"Variable PID contains a process ID, check if this process exists - resulting exit status from this command will be zero if it does and current user has permission to send it signals.",kill -0 $PID
"Print file information of command ""passwd""",ls -l `which passwd`
Find the passwd file under root and two levels down,find / -maxdepth 3 -name passwd
"Number each line in ""/etc/passwd"" as right-justified zero padded to a width of 9",nl -nrz -w9 /etc/passwd
"extract ""passwd.tar.gz"" with verbose output",tar -xvzf passwd.tar.gz
"Silently read a line into variable ""passwd"" with prompt ""Enter your password: ""","read -s -p ""Enter your password: "" passwd"
find all files in the current directory and sub-directories that were modified after the /etc/passwd file was modified,find -newer /etc/passwd
Identify files that do not have a listing in the /etc/passwd or /etc/group file,find / -nouser -o -nogroup
Find files that do not have a listing in the /etc/passwd or /etc/group in the file system,find / -nouser -o -nogroup
change the password for the current user,passwd
change the password for a specific user,sudo passwd <username>
force a user to change their password on next login,sudo passwd -e <username>
lock a user account,sudo passwd -l <username>
unlock a user account,sudo passwd -u <username>
set a password expiration date,sudo passwd -x <days> <username>
set a minimum password age,sudo passwd -n <days> <username>
set a password inactivity period,sudo passwd -i <days> <username>
Send one ping request to local machine.,ping -c 1 127.0.0.1
"Ping the broadcast address ""10.10.0.255""",ping -b 10.10.0.255
"Send an audible ping to ""10.100.3.104""",ping -a 10.100.3.104
"Send a single ping request with a TTL of 1 to ""192.168.1.1""",ping -c 1 -t 1 192.168.1.1
"Send ping requests to hostname specified by variable ""c"" for 1 second.",ping -w 1 $c
"Ping all hosts in file ""ips"" twice",`cat ips
"Send two ping requests to ""www.google.com""",ping -c 2 www.google.com
"Send ping requests to ""yourhostname.local""",ping yourhostname.local
Time stamp every ping request to 8.8.8.8 in Unix epoch format,ping -D -n -O -i1 -W1 8.8.8.8
Prepend date to ping output to google.com,`ping google.com
"Send at most 3 ping requests to ""8.8.8.8"" with a timeout of 3 seconds on interface ""eth9""",ping 8.8.8.8 -I eth9 -c 3 -w 3
Ping every address from 192.168.0.1 to 192.168.0.254 with a timeout of 1 second and filter out no responses,`echo $(seq 254)
Send 5 ping requests to address 12.34.56.78 and print only the last 2 lines of the summary output.,`ping -c 5 -q 12.34.56.78
"Print ""echo ping -c 2"" on each string in file 'ips'",`cat ips
"Print the average round trip time of 5 pings to ""google.com""",`ping -q -c 5 google.com
"Add a date time stamp to every line of output in ""ping google.com""",`ping google.com
"Infinitely ping every host listed in ""file-of-ips"" with at most 50 processes at once",`cat file-of-ips
"Send one ping request to host whose name or IP address is specified by variable ""remote_machine"".",ping -c 1 $remote_machine
"Send 4 ping requests to host ""google.comz"", displaying only the summary info after the last request completed.",ping -c 4 -q google.comz
"Send one ping request to host whose name or IP address is specified by variable ""ip"", using network interface eth9.",ping ${ip} -I eth9 -c 1
"Send one ping request to host with local address in the 10.0.0.x range, with last number specified by variable ""i"", waiting 1 second for a reply, and output only lines containing ""from"" to standard output.",`ping -W 1 -c 1 10.0.0.$i
"Print and save the ping results of 25 requests to ""google.com"" in ""/home/user/myLogFile.log"" containing at most 100000 bytes",`ping -c 25 google.com
"Send one ping request to host with local address in the 192.168.1.x range, with last number specified by variable ""COUNTER"", and output only lines containing ""ms"" to standard output.",`ping -c 1 192.168.1.$COUNTER
Set variable PacketLoss to first digit of percentage of packet loss occurring when pinging host specified by TestIP,"`PacketLoss=$(ping ""$TestIP"" -c 2"
"Split the result of command ""ping -c 25 google.com","tee "" into pieces per 100000 bytes named as ""/home/user/myLogFile.logNNN"""
"Convert ""1199092913"" to dotted decimal IPv4 address",`ping -c1 1199092913
"Print the percentage of packets lost of the 5 packets sent to ""$host""",`ping -c 5 -q $host
"Save the percentage of packets lost of the 5 packets sent to ""$host"" in variable ""packet_loss""",`packet_loss=$(ping -c 5 -q $host
prevents curl from returning error (23) Failed writing body when grepping for foo,"curl ""url"" | tac | tac | grep -qs foo"
"download content from ""http://127.0.0.1:8000"" and output to ""index.html""",curl http://127.0.0.1:8000 -o index.html
"download contents of a website ""https://get.scoop.sh""",curl -L https://get.scoop.sh
"find md5sum of content from ""www.google.com""",curl -s www.google.com | md5
Get directory listing of URL $1 and save them to variable 'header' by deleting '\r' characters,"header=""$(curl -sI ""$1"" | tr -d '\r')"""
"download contents from ""https://www.npmjs.com/install.sh"" and execute",curl https://www.npmjs.com/install.sh | sh
"find a difference between website content of ""http://tldp.org/LDP/abs/html/"" and ""http://www.redhat.com/mirrors/LDP/LDP/abs/html/""",diff <(curl -s http://tldp.org/LDP/abs/html/) <(curl -s http://www.redhat.com/mirrors/LDP/LDP/abs/html/)
"download contents from ""https://raw.github.com/creationix/nvm/master/install.sh"" and execute",curl https://raw.github.com/creationix/nvm/master/install.sh | sh
Find all files/directories under current /export/home/someone directory and upload them to ftp://somehost/tmp/,find /export/home/someone -exec curl -u someone:password -vT {} ftp://somehost/tmp/
"download a file ""http://download.oracle.com/otn-pub/java/jce/8/jce_policy-8.zip"" using cookies ""oraclelicense=accept-securebackup-cookie""","curl -L -C - -b ""oraclelicense=accept-securebackup-cookie"" -O http://download.oracle.com/otn-pub/java/jce/8/jce_policy-8.zip"
Download a webpage and display the content,curl http://example.com
Download a file and save it to a specific location,curl -o filename.txt http://example.com/file.txt
Download content and display the headers only,curl -I http://example.com
Follow redirects when downloading a file,curl -L http://example.com/file.txt -o file.txt
Get the content of a file and show it in the terminal,curl -s http://example.com
Get the content and output it in verbose mode,curl -v http://example.com
Download a file and continue if interrupted,curl -C - -O http://example.com/file.zip
Show only the HTTP status code,"curl -o /dev/null -s -w ""%{http_code}\n"" http://example.com"
Download a file using a specific user-agent,"curl -A ""Mozilla/5.0"" -O http://example.com/file.txt"
Send data using POST request,"curl -X POST -d ""param1=value1&param2=value2"" http://example.com"
Show all network interfaces and their details,ifconfig
Show all network interfaces with IP addresses,ip a
Show only the details of the eth0 interface,ifconfig eth0
Show details of the eth0 interface with ip,ip addr show eth0
Show only the IPv4 address of eth0,`ifconfig eth0
Show the IPv4 and IPv6 addresses of all interfaces,ip addr show
Bring the interface eth0 up,ifconfig eth0 up
Bring the interface eth0 down,ifconfig eth0 down
Set the IP address of eth0 to 192.168.1.10,ifconfig eth0 192.168.1.10
Set the IP address of eth0 to 192.168.1.10 using ip,ip addr add 192.168.1.10/24 dev eth0
Show the default network interface,ip route show default
Show the MAC address of eth0,`ifconfig eth0
"(Linux specific) Find all loadable modules for current kernel, whose name includes ""perf""",find /lib/modules/`uname -r` -regex .*perf.*
"(Linux specific) Look for any instance of ""HIGHMEM"" in the current kernel's compile-time config file.",grep “HIGHMEM” /boot/config-`uname -r`
(Linux-specific) Display all lines containing PROBES in the current kernel's compile-time config file.,grep PROBES /boot/config-$(uname -r)
"(Linux-specific) Look for any instance of ""ds1337"" in the modules.alias file matching current kernel release",grep ds1337 /lib/modules/`uname -r`/modules.alias
"Add ""execute"" to the permissions of all directories in the home directory tree",find ~ -type d -exec chmod +x {} \;
Add '.avi' extension to all files/directories with '.mkv' extension under '/volume1/uploads' directory tree,"find /volume1/uploads -name ""*.mkv"" -exec mv \{\} \{\}.avi \;"
Add group write permission to all files in the current directory,find . -maxdepth 0 -type f -exec chmod g+w {} ';'
Add read and execute permission to every directory under the current directory,find . -type d -exec chmod +rx {} \;
Add read permission for 'other' for all files/directories named 'rc.conf' under current directory tree,"find . -name ""rc.conf"" -exec chmod o+r '{}' \;"
Add the execute and read permission for all and the write permission for the user to the dir_data directory and all of its sub-directories.,"find ~/dir_data -type d -exec chmod a+xr,u+w {} \;"
"Append "".txt"" to all filenames in the current directory tree",find -type f | xargs -I {} mv {} {}.txt
Append *.java files from the current directory tree to tar archive `myfile.tar',"find . -type f -name ""*.java"" | xargs tar rvf myfile.tar"
Append all *.mp3 files modified within the last 180 days to tar archive `music.tar',find . -name -type f '*.mp3' -mtime -180 -print0 | xargs -0 tar rvf music.tar
Append all PNG and JPG files to tar archive 'images.tar',"find . \( -iname ""*.png"" -o -iname ""*.jpg"" \) -print -exec tar -rf images.tar {} \;"
"Append all regular files modified in the last 24 hours to the ""$archive.tar"" tar archive","find . -mtime -1 -type f -exec tar rvf ""$archive.tar"" '{}' \;"
"Append all regular files modified in the last 24 hours to the ""$archive.tar"" tar archive","find . -mtime -1 -type f -print0 | xargs -0 tar rvf ""$archive.tar"""
Archive all *.xml files under current directory tree to xml.tar excluding the files that match '/workspace/' in their paths,find . -name \*.xml | grep -v /workspace/ | tr '\n' '\0' | xargs -0 tar -cf xml.tar
Archive all *html files using tar.,"find . -type f -name ""*html"" | xargs tar cvf htmlfiles.tar -"
"Archive all directories in /path/to/directory/* (only command line arguments, no sub-directories) to files with .tar.gz extension","find /path/to/directory/* -maxdepth 0 -type d -printf ""%P\n"" -exec sudo tar -zcpvf {}.tar.gz {} \;"
"Archive all directories in /path/to/directory/* (only command line arguments, no sub-directories) to files with .tar.gz extension transforming the full paths to relative paths",find /path/* -maxdepth 0 -type d -exec sudo tar -zcpvf {}.tar.gz {} \;
Archive all filepattern-*2009* files/directories under data/ into 2009.tar,find data/ -name 'filepattern-*2009*' -exec tar uf 2009.tar '{}' +
Archive all filepattern-*2009* files/directories under data/ into 2009.tar,find data/ -name filepattern-*2009* -exec tar uf 2009.tar {} ;
Archive all filepattern-*2009* files/directories under data/ into 2009.tar,find data/ -name filepattern-*2009* -print0 | xargs -0 tar uf 2009.tar
Archive the entire file system into tarfile.tar.bz2,find / -print0 | xargs -0 tar cjf tarfile.tar.bz2
Assign permissions 644 to files in the current directory tree,find . -type f -print0 | xargs -0 chmod 644
Assign permissions 755 to directories in the current directory tree,find . -type d -print0 | xargs -0 chmod 755
Back up all *.txt files/directories in new files/directories with a .bak extension in their names under /etc directory,"find /etc -name ""*.txt"" | xargs -I {} mv {} {}.bak"
Back up all *.txt files/directories in new files/directories with a .bak extension in their names under /etc directory,"find /etc -print0 -name ""*.txt"" | xargs -I {} -0 mv {} {}.bak"
Backup all of the Java files in the current directory tree by copying them and appending the suffix .bk to each,"find . -name ""*.java"" -exec cp {} {}.bk \;"
"Build an ""svn hotcopy"" command for each subdirectory of /usr/local/svn/repos/","find /usr/local/svn/repos/ -maxdepth 1 -mindepth 1 -type d -printf ""%f\0"" | xargs -0 -I{} echo svnadmin hotcopy /usr/local/svn/repos/\{\} /usr/local/backup/\{\}"
Calculate and show md5 sums for every files under current directory tree,find . -type f -exec md5sum \{\} \;
Calculate and show md5 sums for every files under current directory tree,find . | xargs md5sum
Calculate md5 sum of the md5 sum of all the sorted files under $path,"find ""$path"" -type f -print0 | sort -z | xargs -r0 md5sum | md5sum"
"Calculate the md5 sum of all "".py"" files in ""/your/dir"" including content and filenames","grep -ar -e . --include=""*.py"" /your/dir | md5sum | cut -c-32"
"Calculate the md5 sum of all files in ""/your/dir"" including content and filenames and following symbolic links",grep -aR -e . /your/dir | md5sum | cut -c-32
